compound,vol_pfu_pred,vol_pfu_std,gap_pred,gap_std,delta_H_pred,delta_H_std
LiNa__s1,63.61859827413551,13.633717559488634,3.9008371992681115,1.330703300792187,-0.081032424,1.0825552822991975
LiNa__s2,65.21211696127558,13.883914671883012,4.350675363372364,1.5629034212763395,-0.00918175,1.132923119586199
LiNa__s3,69.32504616929522,14.700102102203513,4.286063009,1.2722850829599517,-0.008995716,1.195939123782258
LiNa__s4,75.00620519,13.17692803614374,4.297103315421321,1.2096123810212294,0.17880702914749985,1.2434577890514427
LiNa__s5,65.08064811884068,14.180104953344806,4.097336517027602,1.375714684264519,-0.006207147,1.1301178578882851
LiNa__s6,65.10921150123124,13.628314895717184,4.158261752261253,1.1350357716701869,-0.032229924,1.140925321
LiNa__s7,65.80795653464813,13.86772782,4.220794578348209,1.3293832965997738,-0.012284924,1.1287038209174318
LiNa__s8,65.28804207001431,13.980997147675385,4.2618628633723645,1.311844892474751,-0.015896035,1.1300405412420305
LiNa__s9,65.25503616092341,13.937822764423423,4.222121011520512,1.3320182274703567,-0.010996035,1.1292688997089941
LiNa__s10,65.14965333707084,13.66170845626162,4.1879789348009355,1.2729224264408183,-0.045714554,1.1039460686576676
LiK__s1,80.65962830063626,14.687129940115263,4.351916878175201,1.172176309060411,0.298010433,1.676358388215792
LiK__s2,79.79584192636726,14.300507018379298,4.6585936260399095,1.1267468345890261,0.34210459990690867,1.6930921390865874
LiK__s3,81.02820597605984,15.368852015081504,4.517765733647214,0.9592242331030643,0.33789348879579756,1.7034418920774512
LiK__s4,79.63760077879466,15.385114863727534,4.575973933781632,0.8796632665554373,0.534245635,1.7119515831448573
LiK__s5,79.19583559316399,14.683255576556572,4.424434591850415,1.1516593653557001,0.3455518221291309,1.684986337287311
LiK__s6,78.40056122268993,14.793768342495282,4.518241922956271,0.9076525680871044,0.33524293324024207,1.6857546728177089
LiK__s7,80.01384155599688,14.027920035680085,4.536703865670465,1.0465732192645223,0.34329904435135317,1.6841320629934133
LiK__s8,79.90093822266354,14.129418949496051,4.588506242552841,1.0047573879965006,0.35392126657357537,1.666625788010824
LiK__s9,79.88087155599688,14.131520990322894,4.5473520918504144,1.0497284576887425,0.34348793324024207,1.6827907391490906
LiK__s10,79.03423822266355,13.708553702301218,4.533649274390097,0.9793291285374538,0.2827444147217235,1.6722595361154697
LiRb__s1,73.92460278104114,15.898528523978925,4.110358124542157,1.1299370059378513,-1.340489815,2.3535998387985924
LiRb__s2,73.61078221485293,15.45410117123995,4.359314211014792,0.943754412,-1.354845371,2.3892859076851445
LiRb__s3,77.35633495556073,17.098329766247694,4.255676755940627,0.9086305268028813,-1.358076482,2.387941695046495
LiRb__s4,76.55828821915624,17.24585146930147,4.306557241080488,0.8625575452939422,-1.290752871,2.4395578382366137
LiRb__s5,73.34205696047009,15.709822584538555,4.1477894732233445,1.0274139069986443,-1.335248149,2.3811126073913473
LiRb__s6,72.19701759119219,15.451567604357612,4.286728795871609,0.9601610280471888,-1.353060371,2.3787015939189367
LiRb__s7,74.21653133101455,15.32506499634817,4.254568318822189,0.9520412287951345,-1.345865371,2.3835046922113734
LiRb__s8,73.85542665929738,15.556467537588876,4.313487991741863,0.9227193066515619,-1.338748149,2.3818668258553553
LiRb__s9,73.93154332596404,15.409990389333311,4.267008362112233,0.9615874716053091,-1.347598704,2.3814302313377844
LiRb__s10,73.75277110374184,14.853697779337695,4.278718970577842,0.9387736426128862,-1.371432038,2.366843935294973
LiCs__s1,72.94240955913912,17.831382787697702,4.214732954027496,1.039115417387653,-1.490625031,2.241460052770148
LiCs__s2,72.82551001007708,18.122975474999127,4.469264267096148,0.7821072319723148,-1.527390309,2.288931767799666
LiCs__s3,76.75504954063909,18.698726226688354,4.354843238935854,0.713886599,-1.525112531,2.2848686739228214
LiCs__s4,74.78381402657527,18.247312724191573,4.401905469134849,0.6461938978832186,-1.479108364,2.330902013664287
LiCs__s5,72.72723489255571,17.980753786904412,4.26220453,0.8880684809375446,-1.497061975,2.265132123311535
LiCs__s6,71.71032472448303,17.849933412390723,4.381688477276805,0.7933512503032707,-1.533107531,2.2550672936071594
LiCs__s7,73.53301470704676,17.67589599225576,4.3543360936954745,0.7902975901611695,-1.515979198,2.2809198831569626
LiCs__s8,73.23985953388659,17.884345510072574,4.419266104055485,0.7279030763582774,-1.486479753,2.2843859631749805
LiCs__s9,73.38092501007706,18.132572766383728,4.368842029981411,0.7912672248815079,-1.517712531,2.2786226353620798
LiCs__s10,72.85655834,17.331003389378754,4.3755645408039205,0.7887115406887347,-1.540095864,2.263038131907867
LiBe__s1,34.859171465290174,14.038896247620762,4.718732161172161,2.1548002431028137,-0.559440526,3.470607695717054
LiBe__s2,34.971858249531714,14.151581405375813,4.774442791424263,2.513682201240183,-0.802979899,3.6334149342003816
LiBe__s3,36.40543763381036,14.441189317475985,5.124693188249659,2.0388239100232526,-0.95656583,3.8907097606439427
LiBe__s4,36.11491232277468,14.906990501638136,4.8236300136464845,1.8912618459820187,-0.845239548,3.9881477760421067
LiBe__s5,35.223630500613965,13.974525598892708,4.805054458090929,2.1464780103589556,-0.807460023,3.676705079718207
LiBe__s6,35.005198190672445,13.797508299786985,4.767153346979818,2.029903315932721,-0.88487474,3.697882658020587
