Ion_rad_avg,BP_avg,MP_avg,Density_avg,At_wt_avg,Cov_rad_avg,Ion_Energy_avg,Elec_Aff_avg,At_vol_avg,Thermal_expn_avg,Sp_heat_cap_avg,Therm_cond_avg,Elec_cond_avg,Heat_fusion_avg,Heat_vap_avg,Electronegativity_avg,At_num_avg,Period_avg,Group_avg,Ox_state_avg,Ion_rad_diff,BP_diff,MP_diff,Density_diff,At_wt_diff,Cov_rad_diff,Ion_Energy_diff,Elec_Aff_diff,At_vol_diff,Thermal_expn_diff,Sp_heat_cap_diff,Therm_cond_diff,Elec_cond_diff,Heat_fusion_diff,Heat_vap_diff,Electronegativity_diff,At_num_diff,Period_diff,Group_diff,Ox_state_diff,structure_encoded
0.53,4575.0,2434.5,7.825,94.65,1.13,721.3,13.5,9.1,5.300000000000001,0.585,25.0,1.7,22.18,584.4350000000001,1.67,38.5,4.0,8.5,3.5,0.6,600.0,139.0,10.97,167.68,0.62,158.60000000000002,27.0,9.0,1.2000000000000002,0.89,4.0,3.4,0.8399999999999999,153.27000000000004,0.74,67,4,9,1,1
0.815,4220.0,2551.0,15.835,178.73,1.415,714.5,80.0,13.445,7.25,0.15000000000000002,50.949999999999996,6.75,23.22,460.24,1.7200000000000002,72.0,6.0,5.5,3.5,0.37,2160.0,1498.0,13.530000000000001,22.939999999999998,0.31000000000000005,251.0,60.0,9.909999999999998,4.300000000000001,0.04000000000000001,73.3,11.100000000000001,12.14,334.72,0.9600000000000002,8,0,5,1,1
1.1600000000000001,3093.5,1489.5,7.78,153.37,1.615,551.0,50.0,19.8,8.25,0.18,13.6,1.35,10.97,256.84000000000003,1.18,63.0,6.0,3.0,3.0,0.26,507.0,391.0,1.540000000000001,18.25999999999999,0.04999999999999982,42.0,0.0,1.6000000000000014,2.6999999999999993,0.01999999999999999,5.800000000000001,0.5,0.17999999999999972,53.68000000000001,0.08000000000000007,6,0,0,0,1
1.0899999999999999,2628.5,1370.5,4.890000000000001,99.505,1.665,576.9,-53.0,22.549999999999997,15.850000000000001,0.41500000000000004,105.55,16.1,9.665,224.83499999999998,1.1,42.5,5.0,2.5,2.5,0.17999999999999994,1743.0,517.0,6.680000000000001,118.85000000000001,0.1499999999999999,25.799999999999955,206.0,6.699999999999999,12.9,0.47000000000000003,188.9,30.400000000000002,2.2700000000000014,140.33,0.19999999999999996,45,2,1,1,1
0.385,3507.5,1649.25,2.52,18.895,1.0,689.1,36.0,7.3,13.9,0.9650000000000001,132.0,18.85,16.65,399.3,1.8250000000000002,9.0,2.5,13.0,3.0,0.31000000000000005,1535.0,1431.5,0.3600000000000003,16.17,0.36,223.0,18.0,5.4,18.400000000000002,0.13,210.0,37.7,11.900000000000002,217.0,0.42999999999999994,8,1,0,0,1
0.72,4021.0,2116.79,14.760000000000002,146.45499999999998,1.32,787.5,159.37,9.8,9.5,0.19,227.5,33.05,24.18,457.41499999999996,2.35,60.5,5.5,8.5,4.5,0.26,1782.0,1558.42,9.08,101.03,0.040000000000000036,205.20000000000005,126.74000000000001,0.7999999999999989,9.399999999999999,0.12,179.0,31.499999999999996,23.64,265.96999999999997,0.3799999999999999,37,1,5,3,1
1.38,639.59,383.215,5.93,73.93,1.2,1059.4,174.4,15.0,15.4,0.355,48.405,7.35,4.640000000000001,55.035000000000004,2.425,32.5,4.0,14.5,1.5,0.8600000000000001,800.8199999999999,422.09000000000003,5.44,76.96,0.41999999999999993,383.39999999999986,348.8,3.799999999999999,30.8,0.24999999999999997,96.78999999999999,14.7,2.8600000000000003,89.67,1.4700000000000002,31,2,5,1,1
0.9949999999999999,3559.0,1681.54,8.504999999999999,99.545,1.395,695.5,87.85,12.2,12.299999999999999,0.255,225.85,32.6,16.15,420.565,1.63,43.5,5.0,7.5,2.5,0.30999999999999994,2246.0,892.9200000000001,3.99,16.650000000000006,0.10999999999999988,71.0,75.7,3.799999999999999,13.2,0.05000000000000002,406.3,60.6,9.7,339.87,0.5999999999999999,7,0,7,3,1
0.6799999999999999,2620.0,1622.0,8.17,56.815,1.16,727.05,55.5,6.99,17.55,0.45999999999999996,49.260000000000005,7.55,15.92,298.62,1.73,26.5,4.0,8.5,3.0,0.019999999999999907,770.0,208.0,1.46,3.75,0.020000000000000018,19.300000000000068,111.0,0.7999999999999998,8.299999999999999,0.03999999999999998,82.88,14.1,2.5599999999999987,157.76,0.3599999999999999,3,0,3,2,1
1.06,3691.5,1503.5,8.305,157.54500000000002,1.605,525.9,50.0,19.225,6.699999999999999,0.16999999999999998,13.899999999999999,1.45,13.9,334.4,1.195,64.5,6.0,3.0,3.0,0.15999999999999992,47.0,865.0,3.0700000000000003,34.849999999999994,0.08999999999999986,3.7999999999999545,0.0,2.8900000000000006,2.999999999999999,0.04000000000000001,4.999999999999998,0.10000000000000009,9.400000000000002,41.19999999999999,0.1499999999999999,13,0,0,0,1
0.8500000000000001,2036.0,1031.295,8.595,131.95999999999998,1.315,710.3499999999999,55.0,14.345,17.55,0.3,7.845000000000001,0.7,12.82,199.37,1.7850000000000001,54.0,5.0,11.0,3.5,0.36,398.0,973.41,2.3099999999999996,154.04,0.29000000000000004,14.100000000000023,110.0,13.91,8.299999999999999,0.36,0.04999999999999982,0.4,3.6400000000000006,40.74000000000001,0.47,58,2,8,1,1
1.24,1237.09,845.085,5.325,45.195,1.08,984.25,174.4,12.145,10.85,0.48,3.915,0.25,8.925,114.97,2.355,21.0,3.5,12.0,2.5,1.1400000000000001,1995.82,1345.83,4.23,19.489999999999995,0.17999999999999994,533.6999999999999,348.8,9.509999999999998,21.7,0.0,7.8100000000000005,0.5,11.43,209.54000000000002,1.61,8,1,10,3,1
0.765,2595.0,893.1899999999999,8.135,89.14,1.305,651.8499999999999,73.65,11.399999999999999,24.3,0.31,241.3,32.050000000000004,8.2,263.42,1.8399999999999999,39.0,4.5,12.0,2.5,0.07000000000000006,490.0,926.8199999999999,1.6500000000000012,51.35999999999999,0.27,187.10000000000002,89.3,8.6,15.600000000000001,0.16,319.4,57.300000000000004,9.88,74.16,0.11999999999999988,20,1,2,1,1
1.0,2957.595,1874.9,10.365,99.925,1.0150000000000001,1041.95,100.55,11.765,392.25,0.525,87.135,9.1,17.81,212.995,2.9,41.0,4.0,11.0,4.0,0.7999999999999999,5734.81,3640.2,17.87,167.85,0.5700000000000001,543.9000000000001,81.1,4.470000000000001,775.5,0.79,173.73,18.2,35.18,419.16999999999996,1.08,66,4,10,4,1
0.595,4376.5,2550.5,12.26,118.39999999999999,1.255,760.15,42.0,9.0,9.05,0.29500000000000004,68.85,9.649999999999999,24.9,543.25,1.665,49.5,5.0,6.5,4.0,0.08999999999999997,2707.0,1485.0,8.779999999999998,125.1,0.17000000000000015,1.7000000000000455,36.0,3.8000000000000007,5.500000000000001,0.31,22.700000000000003,3.0999999999999996,22.2,387.5,0.33000000000000007,47,2,3,2,1
0.7150000000000001,2792.5,1344.85,6.47,54.925,1.24,620.1,89.9,10.7,27.1,1.9100000000000001,117.35,17.35,12.38,321.245,1.63,24.0,3.5,5.0,2.0,0.08999999999999997,2355.0,1782.3,11.88,95.97,0.020000000000000018,199.79999999999995,60.2,4.799999999999999,37.8,3.34,65.3,11.3,18.76,348.28999999999996,1.2999999999999998,42,3,8,2,1
0.975,1398.5,853.13,5.1000000000000005,76.245,1.575,728.75,-78.0,19.5,26.55,0.44,148.4,23.0,7.3,127.27,1.345,34.0,4.5,7.0,2.0,0.050000000000000044,717.0,517.74,7.1000000000000005,72.33,0.33000000000000007,277.9000000000001,156.0,12.799999999999999,8.5,0.42000000000000004,103.2,16.6,2.459999999999999,54.79999999999998,0.69,28,1,10,0,1
0.845,4549.0,2505.0,13.26,164.425,1.4649999999999999,652.5,55.0,15.96,2.25,0.16,95.95,10.1,21.55,356.28999999999996,1.7449999999999999,67.5,6.0,4.5,4.5,0.4900000000000001,2552.0,2380.0,12.080000000000002,38.849999999999994,0.32999999999999985,235.0,10.0,12.860000000000001,4.5,0.06,156.1,16.2,27.7,132.57999999999998,1.23,13,0,3,3,1
0.74,3041.5,1622.5,5.2,85.755,1.245,735.7,-95.0,12.0,10.45,0.995,105.35,13.05,11.385000000000002,263.5,1.395,35.0,4.0,2.5,2.5,0.5800000000000001,403.0,125.0,6.700000000000001,153.49,0.6900000000000001,327.4,290.0,14.0,1.700000000000001,1.6500000000000001,189.3,23.9,0.6500000000000004,67.0,0.3500000000000001,62,4,1,1,1
1.5150000000000001,2145.5,797.77,4.4399999999999995,138.575,1.995,452.85,47.745000000000005,45.834999999999994,53.45,0.215,26.2,3.45,6.485,175.71,0.965,57.5,6.0,2.0,2.0,0.44999999999999996,2403.0,992.46,5.14,11.330000000000013,0.7100000000000002,154.3,4.509999999999998,50.46999999999999,93.1,0.04999999999999999,19.4,3.6999999999999997,8.790000000000001,215.94,0.34999999999999987,5,0,2,2,1
0.8200000000000001,3696.5,2178.5,10.585,133.0,1.415,646.0,80.0,13.5,8.100000000000001,0.20500000000000002,66.6,8.0,21.335,409.405,1.715,55.5,5.5,5.5,3.0,0.4,1457.0,863.0,3.5699999999999985,63.860000000000014,0.33000000000000007,130.0,60.0,10.399999999999999,3.4000000000000004,0.06999999999999998,100.8,13.8,8.370000000000001,316.73,0.9700000000000002,23,1,5,0,1
0.655,3715.0,2168.0,10.635,79.88,1.2,723.85,110.5,7.445,9.9,0.33999999999999997,103.85,14.75,21.36,472.635,2.055,36.0,4.5,9.0,2.5,0.06999999999999995,1420.0,884.0,3.469999999999999,42.379999999999995,0.10000000000000009,25.700000000000045,1.0,1.7100000000000009,7.0,0.2,26.299999999999997,0.3000000000000007,8.32,190.26999999999998,0.29000000000000026,16,1,2,1,1
0.71,2647.5,1279.8899999999999,7.25,83.41,1.31,605.55,46.5,11.465,18.5,0.34,87.65,5.65,11.629999999999999,282.92,1.72,36.5,4.5,9.5,3.0,0.18000000000000005,595.0,1700.22,0.11999999999999922,62.81999999999999,0.26,94.5,35.0,8.469999999999999,27.200000000000003,0.22,12.100000000000009,4.5,16.740000000000002,113.16,0.1200000000000001,25,1,7,0,1
0.7849999999999999,1759.0,448.59000000000003,7.28,91.065,1.335,723.25,14.5,12.45,25.25,0.3,68.7,8.25,5.83,177.965,1.75,39.5,4.5,12.5,2.5,0.32999999999999996,1438.0,291.34,2.74,42.69,0.1499999999999999,288.9000000000001,29.0,1.299999999999999,11.100000000000001,0.13999999999999999,56.199999999999996,12.899999999999999,0.4800000000000004,156.19,0.1200000000000001,17,1,1,1,1
