Ion_rad_avg,BP_avg,MP_avg,Density_avg,At_wt_avg,Cov_rad_avg,Ion_Energy_avg,Elec_Aff_avg,At_vol_avg,Thermal_expn_avg,Sp_heat_cap_avg,Therm_cond_avg,Elec_cond_avg,Heat_fusion_avg,Heat_vap_avg,Electronegativity_avg,At_num_avg,Period_avg,Group_avg,Ox_state_avg,Ion_rad_diff,BP_diff,MP_diff,Density_diff,At_wt_diff,Cov_rad_diff,Ion_Energy_diff,Elec_Aff_diff,At_vol_diff,Thermal_expn_diff,Sp_heat_cap_diff,Therm_cond_diff,Elec_cond_diff,Heat_fusion_diff,Heat_vap_diff,Electronegativity_diff,At_num_diff,Period_diff,Group_diff,Ox_state_diff,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
1.535,514.5,177.545,1.785,75.955,1.535,1028.35,186.745,41.835,950.0,0.53,17.965,8.65,1.175,35.505,2.385,32.0,4.0,9.0,1.0,0.205,429.5,123.995,0.085,56.955,0.815,652.65,141.255,29.235,850.0,0.29,17.935,3.35,0.915,32.235,1.595,23.0,2.0,8.0,0.0,False,False,True,False,False,False,False,False,False,False
1.775,591.59,236.855,2.54,84.18,1.67,813.4,197.145,43.985,50.0,0.36,17.955,2.65,2.65,38.97,1.975,36.0,4.5,9.0,1.0,0.035,352.41,64.685,0.67,48.73,0.68,437.7,151.655,27.085,50.0,0.12,17.945,2.65,0.56,28.77,1.185,19.0,1.5,8.0,0.0,False,False,True,False,False,False,False,False,False,False
1.85,637.925,283.745,2.495,106.405,1.745,757.8,185.045,48.335,50.0,0.235,18.01,2.65,3.69,41.23,1.875,45.0,5.0,9.0,1.0,0.11,306.075,17.795,0.625,26.505,0.605,382.1,139.555,22.735,50.0,0.005,17.89,2.65,1.6,26.51,1.085,10.0,1.0,8.0,0.0,False,False,True,False,False,False,False,False,False,False
1.97,700.75,344.12,3.4,129.905,1.84,692.05,170.395,48.405,93.5,0.19,18.175,2.65,4.925,44.32,1.725,54.0,5.5,9.0,1.0,0.23,243.25,42.58,1.53,3.005,0.51,316.35,124.905,22.665,6.5,0.05,17.725,2.65,2.835,23.42,0.935,1.0,0.5,8.0,0.0,False,False,True,False,False,False,False,False,False,False
1.03,1462.5,705.075,5.33,41.23,0.945,1213.2,223.15,9.85,908.25,0.605,200.515,36.35,6.7,151.885,2.94,19.0,3.0,14.0,1.5,0.3,1377.5,651.525,3.63,22.23,0.225,467.8,104.85,2.75,891.75,0.215,200.485,24.35,6.44,148.615,1.04,10.0,1.0,3.0,0.5,False,False,True,False,False,False,False,False,False,False
1.24,1260.5,644.315,6.1,63.435,1.03,1206.0,226.85,11.45,909.45,0.525,214.515,37.45,5.78,126.95,2.955,28.0,3.5,14.0,1.0,0.09,1175.5,590.765,4.4,44.435,0.31,475.0,101.15,1.15,890.55,0.295,214.485,25.45,5.52,123.68,1.025,19.0,1.5,3.0,0.0,False,False,True,False,False,False,False,False,False,False
1.09,1607.5,695.565,10.5,107.985,1.03,1285.55,275.37,11.4,907.1,0.475,158.515,30.4,6.31,163.85,3.26,44.0,4.0,14.0,2.0,0.24,1522.5,642.015,8.8,88.985,0.31,395.45,52.63,1.2,892.9,0.345,158.485,18.4,6.05,160.58,0.72,35.0,2.0,3.0,1.0,False,False,True,False,False,False,False,False,False,False
1.27,1539.59,764.385,6.085,49.455,1.08,998.25,233.55,12.0,8.25,0.435,200.505,30.35,8.175,155.35,2.53,23.0,3.5,14.0,1.5,0.54,1300.41,592.215,2.875,14.005,0.09,252.85,115.25,4.9,8.25,0.045,200.495,30.35,4.965,145.15,0.63,6.0,0.5,3.0,0.5,False,False,True,False,False,False,False,False,False,False
1.48,1337.59,703.625,6.855,71.66,1.165,991.05,237.25,13.6,9.45,0.355,214.505,31.45,7.255,130.415,2.545,32.0,4.0,14.0,1.0,0.33,1098.41,531.455,3.645,36.21,0.175,260.05,111.55,3.3,9.45,0.125,214.495,31.45,4.045,120.215,0.615,15.0,1.0,3.0,0.0,False,False,True,False,False,False,False,False,False,False
1.33,1684.59,754.875,11.255,116.21,1.165,1070.6,285.77,13.55,7.1,0.305,158.505,24.4,7.785,167.315,2.85,48.0,4.5,14.0,2.0,0.48,1445.41,582.705,8.045,80.76,0.175,180.5,63.03,3.35,7.1,0.175,158.495,24.4,4.575,157.115,0.31,31.0,1.5,3.0,1.0,False,False,True,False,False,False,False,False,False,False
1.345,1585.925,811.275,6.04,71.68,1.155,942.65,221.45,16.35,8.25,0.31,200.56,30.35,9.215,157.61,2.43,32.0,4.0,14.0,1.5,0.615,1254.075,545.325,2.92,8.22,0.015,197.25,103.15,9.25,8.25,0.08,200.44,30.35,3.925,142.89,0.53,3.0,0.0,3.0,0.5,False,False,True,False,False,False,False,False,False,False
1.555,1383.925,750.515,6.81,93.885,1.24,935.45,225.15,17.95,9.45,0.23,214.56,31.45,8.295,132.675,2.445,41.0,4.5,14.0,1.0,0.405,1052.075,484.565,3.69,13.985,0.1,204.45,99.45,7.65,9.45,0.0,214.44,31.45,3.005,117.955,0.515,6.0,0.5,3.0,0.0,False,False,True,False,False,False,False,False,False,False
1.405,1730.925,801.765,11.21,138.435,1.24,1015.0,273.67,17.9,7.1,0.18,158.56,24.4,8.825,169.575,2.75,57.0,5.0,14.0,2.0,0.555,1399.075,535.815,8.09,58.535,0.1,124.9,50.93,7.7,7.1,0.05,158.44,24.4,3.535,154.855,0.21,22.0,1.0,3.0,1.0,False,False,True,False,False,False,False,False,False,False
1.465,1648.75,871.65,6.945,95.18,1.25,876.9,206.8,16.42,51.75,0.265,200.725,30.35,10.45,160.7,2.28,41.0,4.5,14.0,1.5,0.735,1191.25,484.95,2.015,31.72,0.08,131.5,88.5,9.32,35.25,0.125,200.275,30.35,2.69,139.8,0.38,12.0,0.5,3.0,0.5,False,False,True,False,False,False,False,False,False,False
1.675,1446.75,810.89,7.715,117.385,1.335,869.7,210.5,18.02,52.95,0.185,214.725,31.45,9.53,135.765,2.295,50.0,5.0,14.0,1.0,0.525,989.25,424.19,2.785,9.515,0.005,138.7,84.8,7.72,34.05,0.045,214.275,31.45,1.77,114.865,0.365,3.0,0.0,3.0,0.0,False,False,True,False,False,False,False,False,False,False
1.525,1793.75,862.14,12.115,161.935,1.335,949.25,259.02,17.97,50.6,0.135,158.725,24.4,10.06,172.665,2.6,66.0,5.5,14.0,2.0,0.675,1336.25,475.44,7.185,35.035,0.005,59.15,36.28,7.77,36.4,0.005,158.275,24.4,2.3,151.765,0.06,13.0,0.5,3.0,1.0,False,False,True,False,False,False,False,False,False,False
0.925,1666.595,807.4,1.64,12.505,0.815,1106.65,-49.45,9.5,395.65,1.37,100.135,12.5,5.965,150.205,2.505,6.0,2.0,9.0,2.0,0.475,1576.405,752.6,0.21,3.495,0.085,207.25,190.55,4.5,384.35,0.45,99.865,12.5,5.745,146.795,0.935,2.0,0.0,7.0,0.0,False,False,True,False,False,False,False,False,False,False
0.37,1980.41,976.1,1.96,20.54,0.96,949.49,-19.79,10.25,40.65,1.265,100.135,12.5,6.72,153.5,2.075,10.0,2.5,9.0,4.0,0.08,1262.59,583.9,0.11,11.53,0.06,50.09,220.21,5.25,29.35,0.555,99.865,12.5,4.99,143.5,0.505,6.0,0.5,7.0,2.0,False,False,True,False,False,False,False,False,False,False
0.475,2100.5,1027.0,3.32,43.985,1.03,920.15,-22.52,10.725,28.15,1.07,101.02,16.5,8.625,161.66,2.06,19.0,3.0,9.0,3.0,0.025,1142.5,533.0,1.47,34.975,0.13,20.75,217.48,5.725,16.85,0.75,98.98,8.5,3.085,135.34,0.49,15.0,1.0,7.0,1.0,False,False,True,False,False,False,False,False,False,False
0.71,2252.0,1141.36,4.045,68.305,1.13,884.3,-24.925,12.75,15.05,1.01,101.175,12.5,14.6,173.815,1.835,28.0,3.5,9.0,3.0,0.26,991.0,418.64,2.195,59.295,0.23,15.1,215.075,7.75,3.75,0.81,98.825,12.5,2.89,123.185,0.265,24.0,1.5,7.0,1.0,False,False,True,False,False,False,False,False,False,False
1.06,735.095,488.4,1.585,20.15,1.045,1025.8,-44.45,13.985,402.4,0.97,78.135,11.2,4.585,65.505,2.375,10.0,2.5,9.0,2.0,0.34,644.905,433.6,0.155,4.15,0.315,288.1,185.55,0.015,377.6,0.05,77.865,11.2,4.365,62.095,1.065,2.0,0.5,7.0,0.0,False,False,True,False,False,False,False,False,False,False
0.505,1048.91,657.1,1.905,28.185,1.19,868.64,-14.79,14.735,47.4,0.865,78.135,11.2,5.34,68.8,1.945,14.0,3.0,9.0,4.0,0.215,331.09,264.9,0.165,3.885,0.17,130.94,215.21,0.765,22.6,0.155,77.865,11.2,3.61,58.8,0.635,2.0,0.0,7.0,2.0,False,False,True,False,False,False,False,False,False,False
0.61,1169.0,708.0,3.265,51.63,1.26,839.3,-17.52,15.21,34.9,0.67,79.02,15.2,7.245,76.96,1.93,23.0,3.5,9.0,3.0,0.11,211.0,214.0,1.525,27.33,0.1,101.6,212.48,1.24,10.1,0.35,76.98,7.2,1.705,50.64,0.62,11.0,0.5,7.0,1.0,False,False,True,False,False,False,False,False,False,False
0.845,1320.5,822.36,3.99,75.95,1.36,803.45,-19.925,17.235,21.8,0.61,79.175,11.2,13.22,89.115,1.705,32.0,4.0,9.0,3.0,0.125,59.5,99.64,2.25,51.65,0.0,65.75,210.075,3.265,3.0,0.41,76.825,11.2,4.27,38.485,0.395,20.0,1.0,7.0,1.0,False,False,True,False,False,False,False,False,False,False
1.2,923.595,583.4,1.49,28.04,1.235,951.85,-7.45,19.95,401.15,0.785,100.135,15.65,4.375,79.04,2.22,14.0,3.0,9.0,2.0,0.2,833.405,528.6,0.06,12.04,0.505,362.05,148.55,5.95,378.85,0.135,99.865,15.65,4.155,75.63,1.22,6.0,1.0,7.0,0.0,False,False,True,False,False,False,False,False,False,False
0.645,1237.41,752.1,1.81,36.075,1.38,794.69,22.21,20.7,46.15,0.68,100.135,15.65,5.13,82.335,1.79,18.0,3.5,9.0,4.0,0.355,519.59,359.9,0.26,4.005,0.36,204.89,178.21,5.2,23.85,0.03,99.865,15.65,3.4,72.335,0.79,2.0,0.5,7.0,2.0,False,False,True,False,False,False,False,False,False,False
0.75,1357.5,803.0,3.17,59.52,1.45,765.35,19.48,21.175,33.65,0.485,101.02,19.65,7.035,90.495,1.775,27.0,4.0,9.0,3.0,0.25,399.5,309.0,1.62,19.44,0.29,175.55,175.48,4.725,11.35,0.165,98.98,11.65,1.495,64.175,0.775,7.0,0.0,7.0,1.0,False,False,True,False,False,False,False,False,False,False
0.985,1509.0,917.36,3.895,83.84,1.55,729.5,17.075,23.2,20.55,0.425,101.175,15.65,13.01,102.65,1.55,36.0,4.5,9.0,3.0,0.015,248.0,194.64,2.345,43.76,0.19,139.7,173.075,2.7,1.75,0.225,98.825,15.65,4.48,52.02,0.55,16.0,0.5,7.0,1.0,False,False,True,False,False,False,False,False,False,False
1.33,872.595,548.4,1.985,51.81,1.32,931.7,-13.45,23.85,401.25,0.61,1.9,2.5,4.21,70.155,2.195,23.0,3.5,9.0,2.0,0.07,782.405,493.6,0.555,35.81,0.59,382.2,154.55,9.85,378.75,0.31,1.63,2.5,3.99,66.745,1.245,15.0,1.5,7.0,0.0,False,False,True,False,False,False,False,False,False,False
0.775,1186.41,717.1,2.305,59.845,1.465,774.54,16.21,24.6,46.25,0.505,1.9,2.5,4.965,73.45,1.765,27.0,4.0,9.0,4.0,0.485,468.59,324.9,0.235,27.775,0.445,225.04,184.21,9.1,23.75,0.205,1.63,2.5,3.235,63.45,0.815,11.0,1.0,7.0,2.0,False,False,True,False,False,False,False,False,False,False
0.88,1306.5,768.0,3.665,83.29,1.535,745.2,13.48,25.075,33.75,0.31,2.785,6.5,6.87,81.61,1.75,36.0,4.5,9.0,3.0,0.38,348.5,274.0,1.125,4.33,0.375,195.7,181.48,8.625,11.25,0.01,0.745,1.5,1.33,55.29,0.8,2.0,0.5,7.0,1.0,False,False,True,False,False,False,False,False,False,False
1.115,1458.0,882.36,4.39,107.61,1.635,709.35,11.075,27.1,20.65,0.25,2.94,2.5,12.845,93.765,1.525,45.0,5.0,9.0,3.0,0.145,197.0,159.64,1.85,19.99,0.275,159.85,179.075,6.6,1.85,0.05,0.59,2.5,4.645,43.135,0.575,7.0,0.0,7.0,1.0,False,False,True,False,False,False,False,False,False,False
1.41,1084.095,528.4,2.51,76.665,1.355,908.4,44.55,26.62,400.3,0.56,9.335,1.4,4.115,71.805,2.165,32.0,4.0,9.0,2.0,0.01,993.905,473.6,1.08,60.665,0.625,405.5,96.55,12.62,379.7,0.36,9.065,1.4,3.895,68.395,1.275,24.0,2.0,7.0,0.0,False,False,True,False,False,False,False,False,False,False
0.855,1397.91,697.1,2.83,84.7,1.5,751.24,74.21,27.37,45.3,0.455,9.335,1.4,4.87,75.1,1.735,36.0,4.5,9.0,4.0,0.565,680.09,304.9,0.76,52.63,0.48,248.34,126.21,11.87,24.7,0.255,9.065,1.4,3.14,65.1,0.845,20.0,1.5,7.0,2.0,False,False,True,False,False,False,False,False,False,False
0.96,1518.0,748.0,4.19,108.145,1.57,721.9,71.48,27.845,32.8,0.26,10.22,5.4,6.775,83.26,1.72,45.0,5.0,9.0,3.0,0.46,560.0,254.0,0.6,29.185,0.41,219.0,123.48,11.395,12.2,0.06,8.18,2.6,1.235,56.94,0.83,11.0,1.0,7.0,1.0,False,False,True,False,False,False,False,False,False,False
1.195,1669.5,862.36,4.915,132.465,1.67,686.05,69.075,29.87,19.7,0.2,10.375,1.4,12.75,95.415,1.495,54.0,5.5,9.0,3.0,0.225,408.5,139.64,1.325,4.865,0.31,183.15,121.075,9.37,0.9,0.0,8.025,1.4,4.74,44.785,0.605,2.0,0.5,7.0,1.0,False,False,True,False,False,False,False,False,False,False
1.055,1483.095,279.96,4.37,67.355,1.07,1011.25,131.05,15.15,401.0,0.575,33.435,4.35,3.71,146.89,2.7,29.0,3.5,15.0,3.0,0.345,1392.905,225.16,2.94,51.355,0.34,302.65,10.05,1.15,379.0,0.345,33.165,4.35,3.49,143.48,0.74,21.0,1.5,1.0,1.0,False,False,True,False,False,False,False,False,False,False
0.5,1796.91,448.66,4.69,75.39,1.215,854.09,160.71,15.9,46.0,0.47,33.435,4.35,4.465,150.185,2.27,33.0,4.0,15.0,5.0,0.21,1079.09,56.46,2.62,43.32,0.195,145.49,39.71,0.4,24.0,0.24,33.165,4.35,2.735,140.185,0.31,17.0,1.0,1.0,1.0,False,False,True,False,False,False,False,False,False,False
0.605,1917.0,499.56,6.05,98.835,1.285,824.75,157.98,16.375,33.5,0.275,34.32,8.35,6.37,158.345,2.255,42.0,4.5,15.0,4.0,0.105,959.0,5.56,1.26,19.875,0.125,116.15,36.98,0.075,11.5,0.045,32.28,0.35,0.83,132.025,0.295,8.0,0.5,1.0,0.0,False,False,True,False,False,False,False,False,False,False
0.84,2068.5,613.92,6.775,123.155,1.385,788.9,155.575,18.4,20.4,0.215,34.475,4.35,12.345,170.5,2.03,51.0,5.0,15.0,4.0,0.13,807.5,108.8,0.535,4.445,0.025,80.3,34.575,2.1,1.6,0.015,32.125,4.35,5.145,119.87,0.07,1.0,0.0,1.0,0.0,False,False,True,False,False,False,False,False,False,False
1.295,1056.595,327.725,6.39,111.6,1.1,1014.7,125.55,16.085,404.4,0.525,17.785,2.4,2.495,90.655,2.885,45.0,4.0,15.0,2.0,0.105,966.405,272.925,4.96,95.6,0.37,299.2,15.55,2.085,375.6,0.395,17.515,2.4,2.275,87.245,0.555,37.0,2.0,1.0,0.0,False,False,True,False,False,False,False,False,False,False
0.74,1370.41,496.425,6.71,119.635,1.245,857.54,155.21,16.835,49.4,0.42,17.785,2.4,3.25,93.95,2.455,49.0,4.5,15.0,4.0,0.45,652.59,104.225,4.64,87.565,0.225,142.04,45.21,1.335,20.6,0.29,17.515,2.4,1.52,83.95,0.125,33.0,1.5,1.0,2.0,False,False,True,False,False,False,False,False,False,False
0.845,1490.5,547.325,8.07,143.08,1.315,828.2,152.48,17.31,36.9,0.225,18.67,6.4,5.155,102.11,2.44,58.0,5.0,15.0,3.0,0.345,532.5,53.325,3.28,64.12,0.155,112.7,42.48,0.86,8.1,0.095,16.63,1.6,0.385,75.79,0.11,24.0,1.0,1.0,1.0,False,False,True,False,False,False,False,False,False,False
1.08,1642.0,661.685,8.795,167.4,1.415,792.35,150.075,19.335,23.8,0.165,18.825,2.4,11.13,114.265,2.215,67.0,5.5,15.0,3.0,0.11,381.0,61.035,2.555,39.8,0.055,76.85,40.075,1.165,5.0,0.035,16.475,2.4,6.36,63.635,0.115,15.0,0.5,1.0,1.0,False,False,True,False,False,False,False,False,False,False
1.07,635.095,373.765,4.28,40.695,0.99,1110.15,70.55,11.6,405.1,0.655,58.135,8.45,3.8,59.355,2.545,19.0,3.0,14.0,2.0,0.33,544.905,318.965,2.85,24.695,0.26,203.75,70.55,2.4,374.9,0.265,57.865,8.45,3.58,55.945,0.895,11.0,1.0,2.0,0.0,False,False,True,False,False,False,False,False,False,False
1.175,565.095,324.53,5.04,64.205,1.07,1090.8,70.55,13.55,405.4,0.575,48.535,7.35,3.145,51.64,2.565,28.0,3.5,14.0,2.0,0.225,474.905,269.73,3.61,48.205,0.34,223.1,70.55,0.45,374.6,0.345,48.265,7.35,2.925,48.23,0.875,20.0,1.5,2.0,0.0,False,False,True,False,False,False,False,False,False,False
1.21,360.035,144.555,7.49,108.295,1.11,1160.45,70.55,14.41,414.5,0.53,4.305,0.5,1.255,31.355,2.72,44.0,4.0,14.0,2.0,0.19,269.845,89.755,6.06,92.295,0.38,153.45,70.55,0.41,365.5,0.39,4.035,0.5,1.035,27.945,0.72,36.0,2.0,2.0,0.0,False,False,True,False,False,False,False,False,False,False
0.515,948.91,542.465,4.6,48.73,1.135,952.99,100.21,12.35,50.1,0.55,58.135,8.45,4.555,62.65,2.115,23.0,3.5,14.0,4.0,0.225,231.09,150.265,2.53,16.66,0.115,46.59,100.21,3.15,19.9,0.16,57.865,8.45,2.825,52.65,0.465,7.0,0.5,2.0,2.0,False,False,True,False,False,False,False,False,False,False
0.62,878.91,493.23,5.36,72.24,1.215,933.64,100.21,14.3,50.4,0.47,48.535,7.35,3.9,54.935,2.135,32.0,4.0,14.0,4.0,0.33,161.09,101.03,3.29,40.17,0.195,65.94,100.21,1.2,19.6,0.24,48.265,7.35,2.17,44.935,0.445,16.0,1.0,2.0,2.0,False,False,True,False,False,False,False,False,False,False
0.655,673.85,313.255,7.81,116.33,1.255,1003.29,100.21,15.16,59.5,0.425,4.305,0.5,2.01,34.65,2.29,48.0,4.5,14.0,4.0,0.365,43.97,78.945,5.74,84.26,0.235,3.71,100.21,0.34,10.5,0.285,4.035,0.5,0.28,24.65,0.29,32.0,1.5,2.0,2.0,False,False,True,False,False,False,False,False,False,False
0.62,1069.0,593.365,5.96,72.175,1.205,923.65,97.48,12.825,37.6,0.355,59.02,12.45,6.46,70.81,2.1,32.0,4.0,14.0,3.0,0.12,111.0,99.365,1.17,6.785,0.045,17.25,97.48,3.625,7.4,0.035,56.98,4.45,0.92,44.49,0.45,2.0,0.0,2.0,1.0,False,False,True,False,False,False,False,False,False,False
0.725,999.0,544.13,6.72,95.685,1.285,904.3,97.48,14.775,37.9,0.275,49.42,11.35,5.805,63.095,2.12,41.0,4.5,14.0,3.0,0.225,41.0,50.13,1.93,16.725,0.125,36.6,97.48,1.675,7.1,0.045,47.38,3.35,0.265,36.775,0.43,7.0,0.5,2.0,1.0,False,False,True,False,False,False,False,False,False,False
0.76,793.94,364.155,9.17,139.775,1.325,973.95,97.48,15.635,47.0,0.23,5.19,4.5,3.915,42.81,2.275,57.0,5.0,14.0,3.0,0.26,164.06,129.845,4.38,60.815,0.165,33.05,97.48,0.815,2.0,0.09,3.15,3.5,1.625,16.49,0.275,23.0,1.0,2.0,1.0,False,False,True,False,False,False,False,False,False,False
0.855,1220.5,707.725,6.685,96.495,1.305,887.8,95.075,14.85,24.5,0.295,59.175,8.45,12.435,82.965,1.875,41.0,4.5,14.0,3.0,0.115,40.5,14.995,0.445,31.105,0.055,18.6,95.075,5.65,5.7,0.095,56.825,8.45,5.055,32.335,0.225,11.0,0.5,2.0,1.0,False,False,True,False,False,False,False,False,False,False
0.96,1150.5,658.49,7.445,120.005,1.385,868.45,95.075,16.8,24.8,0.215,49.575,7.35,11.78,75.25,1.895,50.0,5.0,14.0,3.0,0.01,110.5,64.23,1.205,7.595,0.025,0.75,95.075,3.7,6.0,0.015,47.225,7.35,5.71,24.62,0.205,2.0,0.0,2.0,1.0,False,False,True,False,False,False,False,False,False,False
0.995,945.44,478.515,9.895,164.095,1.425,938.1,95.075,17.66,33.9,0.17,5.345,0.5,9.89,54.965,2.05,66.0,5.5,14.0,3.0,0.025,315.56,244.205,3.655,36.495,0.065,68.9,95.075,2.84,15.1,0.03,2.995,0.5,7.6,4.335,0.05,14.0,0.5,2.0,1.0,False,False,True,False,False,False,False,False,False,False
0.97,2176.17,1214.075,1.795,12.41,0.785,1101.45,10.0,10.95,122.35,1.035,13.515,0.0,11.48,255.295,2.54,6.0,2.0,14.0,3.0,0.74,2098.83,1150.925,0.545,1.6,0.035,300.85,17.0,6.35,117.65,0.005,13.485,0.0,11.12,252.505,0.5,1.0,0.0,1.0,0.0,False,False,True,False,False,False,False,False,False,False
0.2,2414.0,1341.15,2.08,20.89,0.94,906.15,49.35,10.8,65.85,0.9,13.615,0.0,11.615,260.1,2.115,10.0,2.5,14.0,4.0,0.03,1861.0,1023.85,0.26,10.08,0.12,105.55,22.35,6.2,61.15,0.13,13.385,0.0,10.985,247.7,0.075,5.0,0.5,1.0,1.0,False,False,True,False,False,False,False,False,False,False
0.405,2575.5,1727.5,4.06,42.865,1.01,873.8,52.0,8.85,10.05,0.68,38.5,1.9,25.15,270.1,2.1,19.0,3.0,14.0,3.0,0.175,1699.5,637.5,1.72,32.055,0.19,73.2,25.0,4.25,5.35,0.35,11.5,1.9,2.55,237.7,0.06,14.0,1.0,1.0,0.0,False,False,True,False,False,False,False,False,False,False
0.495,3067.5,1634.455,4.515,66.285,1.11,817.15,64.0,11.415,7.85,0.62,25.65,1.3,21.215,287.885,2.045,28.0,3.5,14.0,3.0,0.265,1207.5,730.545,2.175,55.475,0.29,16.55,37.0,6.815,3.15,0.41,1.35,1.3,1.385,219.915,0.005,23.0,1.5,1.0,0.0,False,False,True,False,False,False,False,False,False,False
0.63,3056.0,1454.795,6.045,109.895,1.14,751.95,68.5,12.95,9.05,0.575,17.435,0.45,16.8,343.4,2.03,44.0,4.0,14.0,3.0,0.4,1219.0,910.205,3.705,99.085,0.32,48.65,41.5,8.35,4.35,0.455,9.565,0.45,5.8,164.4,0.01,39.0,2.0,1.0,0.0,False,False,True,False,False,False,False,False,False,False
1.125,1408.67,498.325,1.975,20.495,0.965,989.95,19.0,13.65,131.55,0.97,118.515,18.85,5.53,146.795,2.325,10.0,2.5,14.0,3.0,0.585,1331.33,435.175,0.725,6.485,0.215,412.35,26.0,3.65,108.45,0.07,118.485,18.85,5.17,144.005,0.715,3.0,0.5,1.0,0.0,False,False,True,False,False,False,False,False,False,False
0.355,1646.5,625.4,2.26,28.975,1.12,794.65,58.35,13.5,75.05,0.835,118.615,18.85,5.665,151.6,1.9,14.0,3.0,14.0,4.0,0.185,1093.5,308.1,0.44,1.995,0.06,217.05,13.35,3.5,51.95,0.065,118.385,18.85,5.035,139.2,0.29,1.0,0.0,1.0,1.0,False,False,True,False,False,False,False,False,False,False
0.56,1808.0,1011.75,4.24,50.95,1.19,762.3,61.0,11.55,19.25,0.615,143.5,20.75,19.2,161.6,1.885,23.0,3.5,14.0,3.0,0.02,932.0,78.25,1.54,23.97,0.01,184.7,16.0,1.55,3.85,0.285,93.5,16.95,8.5,129.2,0.275,10.0,0.5,1.0,0.0,False,False,True,False,False,False,False,False,False,False
0.65,2300.0,918.705,4.695,74.37,1.29,705.65,73.0,14.115,17.05,0.555,130.65,20.15,15.265,179.385,1.83,32.0,4.0,14.0,3.0,0.11,440.0,14.795,1.995,47.39,0.11,128.05,28.0,4.115,6.05,0.345,106.35,17.55,4.565,111.415,0.22,19.0,1.0,1.0,0.0,False,False,True,False,False,False,False,False,False,False
0.785,2288.5,739.045,6.225,117.98,1.32,640.45,77.5,15.65,18.25,0.51,122.435,19.3,10.85,234.9,1.815,48.0,4.5,14.0,3.0,0.245,451.5,194.455,3.525,91.0,0.14,62.85,32.5,5.65,4.85,0.39,114.565,18.4,0.15,55.9,0.205,35.0,1.5,1.0,0.0,False,False,True,False,False,False,False,False,False,False
1.165,1277.67,183.035,3.58,41.865,1.005,990.55,11.0,14.55,129.85,0.705,20.315,0.9,2.975,129.425,2.425,19.0,3.0,14.0,3.0,0.545,1200.33,119.885,2.33,27.855,0.255,411.75,18.0,2.75,110.15,0.335,20.285,0.9,2.615,126.635,0.615,12.0,1.0,1.0,0.0,False,False,True,False,False,False,False,False,False,False
0.395,1515.5,310.11,3.865,50.345,1.16,795.25,50.35,14.4,73.35,0.57,20.415,0.9,3.11,134.23,2.0,23.0,3.5,14.0,4.0,0.225,962.5,7.19,2.045,19.375,0.1,216.45,21.35,2.6,53.65,0.2,20.185,0.9,2.48,121.83,0.19,8.0,0.5,1.0,1.0,False,False,True,False,False,False,False,False,False,False
0.6,1677.0,696.46,5.845,72.32,1.23,762.9,53.0,12.45,17.55,0.35,45.3,2.8,16.645,144.23,1.985,32.0,4.0,14.0,3.0,0.02,801.0,393.54,0.065,2.6,0.03,184.1,24.0,0.65,2.15,0.02,4.7,1.0,11.055,111.83,0.175,1.0,0.0,1.0,0.0,False,False,True,False,False,False,False,False,False,False
0.69,2169.0,603.415,6.3,95.74,1.33,706.25,65.0,15.015,15.35,0.29,32.45,2.2,12.71,162.015,1.93,41.0,4.5,14.0,3.0,0.07,309.0,300.495,0.39,26.02,0.07,127.45,36.0,3.215,4.35,0.08,8.15,0.4,7.12,94.045,0.12,10.0,0.5,1.0,0.0,False,False,True,False,False,False,False,False,False,False
0.825,2157.5,423.755,7.83,139.35,1.36,641.05,69.5,16.55,16.55,0.245,24.235,1.35,8.295,217.53,1.915,57.0,5.0,14.0,3.0,0.205,320.5,120.835,1.92,69.63,0.1,62.25,40.5,4.75,3.15,0.125,16.365,0.45,2.705,38.53,0.105,26.0,1.0,1.0,0.0,False,False,True,False,False,False,False,False,False,False
1.255,1213.67,246.465,4.28,64.415,1.095,980.3,11.0,16.5,136.05,0.635,40.815,1.7,1.81,114.565,2.41,28.0,3.5,14.0,3.0,0.455,1136.33,183.315,3.03,50.405,0.345,422.0,18.0,0.8,103.95,0.405,40.785,1.7,1.45,111.775,0.63,21.0,1.5,1.0,0.0,False,False,True,False,False,False,False,False,False,False
0.485,1451.5,373.54,4.565,72.895,1.25,785.0,50.35,16.35,79.55,0.5,40.915,1.7,1.945,119.37,1.985,32.0,4.0,14.0,4.0,0.315,898.5,56.24,2.745,41.925,0.19,226.7,21.35,0.65,47.45,0.27,40.685,1.7,1.315,106.97,0.205,17.0,1.0,1.0,1.0,False,False,True,False,False,False,False,False,False,False
0.69,1613.0,759.89,6.545,94.87,1.32,752.65,53.0,14.4,23.75,0.28,65.8,3.6,15.48,129.37,1.97,41.0,4.5,14.0,3.0,0.11,737.0,330.11,0.765,19.95,0.12,194.35,24.0,1.3,8.35,0.05,15.8,0.2,12.22,96.97,0.19,8.0,0.5,1.0,0.0,False,False,True,False,False,False,False,False,False,False
